panel,orientation,split,assignment,penalty,baseline,candidate,log_loss_gain_nats,brier_gain
A,Original,primary,0,0.25,R,D,0.013682516598642586,0.005573563737288054
A,Original,primary,0,1,R,D,0.013051443390675571,0.0048463485943629064
A,Original,primary,0,4,R,D,0.010357984090185013,0.0035475141079305897
A,Original,reverse,0,0.25,R,D,0.006370718900531119,0.00485704820180748
A,Original,reverse,0,1,R,D,0.009470726110675384,0.0051229274227244034
A,Original,reverse,0,4,R,D,0.010163577341725655,0.003998539667081684
A,Original,primary,0,0.25,D,C,0.010820540845919602,0.002512005600960012
A,Original,primary,0,1,D,C,0.005844785782658665,0.0017374535782055806
A,Original,primary,0,4,D,C,0.00011495267325571656,0.0003214899425351969
A,Original,reverse,0,0.25,D,C,0.01368528415089297,0.0018399659274247956
A,Original,reverse,0,1,D,C,0.006963224351953873,0.0005288532614817036
A,Original,reverse,0,4,D,C,-0.00040352399017046237,-0.0004184611564270399
A,Random 1,primary,0,0.25,R,D,-0.006535112096651738,0.0005722395525559337
A,Random 1,primary,0,1,R,D,0.00010625884312953637,0.0005795139929986141
A,Random 1,primary,0,4,R,D,0.0009632050900182237,0.0004354510772656209
A,Random 1,reverse,0,0.25,R,D,-0.0031039104144066215,0.002254346362390674
A,Random 1,reverse,0,1,R,D,0.007026127824048267,0.0021435632675974522
A,Random 1,reverse,0,4,R,D,0.003089319578109706,0.0008721305566607405
A,Random 1,primary,0,0.25,D,C,0.019287631202288852,0.002995668112294056
A,Random 1,primary,0,1,D,C,0.009056521654607089,0.002104031643961054
A,Random 1,primary,0,4,D,C,0.0033894883648893925,0.0008358670615817992
A,Random 1,reverse,0,0.25,D,C,0.016986644334163137,0.002115312667890081
A,Random 1,reverse,0,1,D,C,0.0027008202576715296,0.000773620473945115
A,Random 1,reverse,0,4,D,C,0.0013668000721485246,0.0003833535727093759
A,Random 2,primary,0,0.25,R,D,0.0031725942172529525,0.0037152970232185827
A,Random 2,primary,0,1,R,D,0.006007957647976139,0.003432552029511725
A,Random 2,primary,0,4,R,D,0.005471317918480642,0.002287915071481881
A,Random 2,reverse,0,0.25,R,D,0.0017564410284150594,0.0019339855406060556
A,Random 2,reverse,0,1,R,D,0.0033396649112771015,0.0016900323355030673
A,Random 2,reverse,0,4,R,D,0.0047243719872690215,0.001640536276131952
A,Random 2,primary,0,0.25,D,C,0.009715555182437385,-0.0002790685495004733
A,Random 2,primary,0,1,D,C,0.0011803280356641188,-0.0007996787514470451
A,Random 2,primary,0,4,D,C,-0.0014485149556950766,-0.0006644024925815291
A,Random 2,reverse,0,0.25,D,C,0.008769210637363453,0.0010889058325933114
A,Random 2,reverse,0,1,D,C,0.004381686006774924,0.0007293639647567574
A,Random 2,reverse,0,4,D,C,-0.000578769892710107,-0.0002450810890789745
B,Original,controller exclusion,0,0.25,G,H,0.004478689374282141,0.004108252786769705
B,Original,controller exclusion,0,1,G,H,0.01227075881523515,0.004614043248565063
B,Original,controller exclusion,0,4,G,H,0.008919564034443994,0.0031154920524767843
B,Random 1,controller exclusion,0,0.25,G,H,-0.0005887894568045171,2.8308268941075465e-05
B,Random 1,controller exclusion,0,1,G,H,0.0022362806324461304,0.0005351117211127715
B,Random 1,controller exclusion,0,4,G,H,0.0010956223919838526,0.0003256217851021412
B,Random 2,controller exclusion,0,0.25,G,H,-0.005251952522490666,-0.000872588014214852
B,Random 2,controller exclusion,0,1,G,H,-0.0016651547079521017,-0.00048582130726401024
B,Random 2,controller exclusion,0,4,G,H,0.0002201957272499333,-5.979593353033427e-05
C,Original,controller exclusion,1,1,G,H,0.02252564038067939,0.006343118062689973
C,Original,controller exclusion,2,1,G,H,0.012919109863124001,0.004039050239551298
C,Original,controller exclusion,3,1,G,H,0.019630138392576046,0.005960221344192031
C,Random 1,controller exclusion,1,1,G,H,0.004339477773815478,0.0011247074381276513
C,Random 1,controller exclusion,2,1,G,H,0.0061015927144859455,0.0015791464438850433
C,Random 1,controller exclusion,3,1,G,H,0.004288786151241578,0.001415807714285497
C,Random 2,controller exclusion,1,1,G,H,-0.0022311052734322323,-0.0005143967452349366
C,Random 2,controller exclusion,2,1,G,H,-0.004125574411029287,-0.0008535246661199869
C,Random 2,controller exclusion,3,1,G,H,-0.0029506825699794625,-0.0004433265479528714
